,alpha,kt
0,1.0262454813652646,9.957018833201873
1,1.0343703518248175,9.741755486883967
2,1.0349964894965469,9.190038363938596
3,1.0382642533808522,9.134511863473442
4,1.038600297970045,8.180808186270287
5,1.0386046349003273,6.8135608521973205
6,1.0394720284712224,6.62647590917034
7,1.041254902541502,6.567521829708485
8,1.0425863188360838,6.512876218462076
9,1.0491434911755169,6.209484240116707
10,1.050606793898248,6.199281358405157
11,1.0506690288926492,6.194871520087899
12,1.0561775063731162,6.19400681956482
13,1.057325517379028,6.171926002483567
14,1.061034569148873,5.732432164935318
15,1.0610711981150358,5.727410972011005
16,1.0626467968437725,5.524719467768512
17,1.0663233463653758,5.449245373031359
18,1.0671452318540249,5.257473093015557
19,1.0679474329978764,5.225191451297352
20,1.0690566315252827,5.22067494738199
21,1.0704913737158848,5.219157544191387
22,1.0790435672289471,5.114369716966494
23,1.081256640184427,5.07464794744205
24,1.082156205305299,5.054416527949449
25,1.0822088814060749,5.0313019801868535
26,1.0830848933907071,4.919148728687653
27,1.0834101685073372,4.9062228010823805
28,1.0845058319384362,4.865568327508441
29,1.085589252370852,4.802829913612548
30,1.0864248325435142,4.802321459260256
31,1.0880399221615542,4.6745531373445015
32,1.0886668026482968,4.4739990664236435
33,1.0897017678976408,4.284605279061172
34,1.0935041824824197,4.276761187619374
35,1.094923879816395,4.182111681974397
36,1.098128526328993,4.159463167332604
37,1.101264143996323,3.748862717848396
38,1.1026599808132351,3.6703150033157392
39,1.1050482430327044,3.6569497345038284
40,1.110430334400258,3.3024644640065914
41,1.1156022000412666,3.2794290031316966
42,1.1194595483020229,3.2694900943588814
43,1.121016019489052,3.1386531878177766
44,1.1222015590989438,3.0697943769598237
45,1.1229225622085397,3.0138281530351096
46,1.1252772337314685,2.9487380519331152
47,1.1256878151236842,2.8976180543377854
48,1.1279002185329328,2.832733236363941
49,1.1290030345570217,2.8011948353850085
50,1.1308718037870271,2.7703347717873643
51,1.1404738824855172,2.689794426851776
52,1.1411362042380422,2.614142715789744
53,1.1475153235663622,2.504766483314112
54,1.158949331025225,2.4852484605513663
55,1.1623914481421622,2.3157048121721555
56,1.1712184672551298,2.2423081979655315
57,1.1744650414879063,1.9125780741281049
58,1.1750405106492776,1.6417459639525422
59,1.1758278457194995,1.633401471548522
60,1.1899746356188632,1.5329024267258984
61,1.195540152639952,1.3288990708505204
62,1.1967817813282569,1.0627283037913358
63,1.1984518861662294,0.9470783653557904
64,1.2090262514186003,0.5769218875528759
65,1.2473501608412454,0.5216253653217159
66,1.251156020122754,0.4328664748780912
67,1.256567939701588,0.4327223604517728
68,1.2634599712619847,0.31744671777495465
